date,resident_foreign_equity_net_100m_yen,resident_foreign_long_debt_net_100m_yen,resident_foreign_short_debt_net_100m_yen,resident_foreign_total_net_100m_yen,nonresident_japan_equity_net_100m_yen,nonresident_japan_long_debt_net_100m_yen,nonresident_japan_short_debt_net_100m_yen,nonresident_japan_total_net_100m_yen
2013-05-18,-1369,-8055,-1023,-10446,7158,176,4538,11873
2013-05-25,-1050,-11196,-6,-12253,-685,-4584,-15330,-20598
2013-06-01,-1373,-11725,597,-12500,-1911,-1197,10989,7881
2013-06-08,-2218,-3942,539,-5621,1174,-2800,6293,4667
2013-06-15,-1300,-4051,276,-5076,-31,3133,-13185,-10083
2013-06-22,139,-11869,531,-11199,1711,-10514,6674,-2129
2013-06-29,-398,-9650,-101,-10149,4794,2618,-11003,-3591
2013-07-06,-141,9739,307,9904,4853,39,-1319,3572
2013-07-13,-883,11092,203,10412,3996,8,-15185,-11182
2013-07-20,-567,6063,400,5895,3499,7902,9141,20543
2013-07-27,-1549,2346,437,1234,-618,-4303,-6970,-11890
2013-08-03,-195,6903,-675,6034,-422,1226,-2360,-1556
2013-08-10,-1012,16251,-414,14825,-1485,4039,-2752,-198
2013-08-17,-30,-9036,326,-8740,481,387,12004,12872
2013-08-24,96,-3164,57,-3010,-888,-8620,-9151,-18659
2013-08-31,656,-5309,-644,-5297,-1750,2015,4463,4727
2013-09-07,381,-627,-10,-256,1854,-1973,13914,13795
2013-09-14,-502,9226,-127,8597,1529,1127,-18875,-16219
2013-09-21,-1683,1745,183,245,1821,-7257,12414,6978
2013-09-28,-490,6722,-624,5607,3388,-1469,-4314,-2395
2013-10-05,262,-22266,-159,-22164,-276,3228,893,3846
2013-10-12,1169,3869,-361,4677,1449,-1839,-6442,-6833
2013-10-19,-470,14125,400,14055,2978,-89,17512,20400
2013-10-26,-2523,10311,86,7873,-79,1226,-3913,-2766
2013-11-02,-357,2768,186,2597,2479,2844,5927,11251
2013-11-09,-984,3578,225,2820,2745,-3222,14017,13540
2013-11-16,-899,3515,-34,2582,12951,258,-5300,7909
2013-11-23,-916,14101,-506,12679,7089,-2041,9652,14700
2013-11-30,-664,655,45,37,3687,576,-4774,-510
2013-12-07,-1274,3900,-212,2414,1140,-124,4855,5872
2013-12-14,-2126,1256,586,-283,6145,4436,5737,16318
2013-12-21,-1416,-6925,-30,-8371,8383,-7766,5584,6200
2013-12-28,-595,1122,33,560,4916,-2412,-21438,-18935
2014-01-11,1492,-4445,-105,-3058,-2186,-7458,27809,18165
2014-01-18,-506,-2879,815,-2569,722,-148,-539,35
2014-01-25,-1526,-3570,532,-4565,-1546,6233,16661,21348
2014-02-01,-1071,-18158,493,-18736,-7519,1558,1049,-4912
2014-02-08,-2437,-6131,289,-8279,-753,3350,-4178,-1581
2014-02-15,313,5035,215,5563,-2787,-1095,-13913,-17795
2014-02-22,-1926,6019,-234,3860,759,1363,-3134,-1013
2014-03-01,-54,-7590,7,-7636,-41,-3206,7849,4602
2014-03-08,-922,-6179,25,-7076,3839,-2670,7601,8770
2014-03-15,-1361,1538,-109,68,-10923,4812,-12424,-18535
2014-03-22,-541,-3987,256,-4273,-1910,-3996,7071,1165
2014-03-29,313,-7642,110,-7218,-5156,-558,-32726,-38440
2014-04-05,947,-3792,-973,-3818,2231,219,28831,31281
2014-04-12,-283,1146,773,1636,-842,3600,2877,5636
2014-04-19,1004,-4182,962,-2216,1940,3119,-1640,3419
2014-04-26,738,711,-189,1259,1947,-1450,5141,5638
2014-05-03,-194,8559,515,8879,-97,-125,1821,1599
2014-05-10,-1504,3458,117,2072,-1537,2669,9102,10235
2014-05-17,1407,14163,578,16147,-972,2564,-3373,-1781
2014-05-24,-755,898,429,571,337,-2393,-10809,-12864
2014-05-31,2771,-7213,-773,-5215,817,5464,8596,14877
2014-06-07,985,13266,342,14593,3410,-4725,5019,3705
2014-06-14,-1086,6411,215,5540,2381,487,1107,3975
2014-06-21,47,14878,750,15674,2963,-4752,-4880,-6669
2014-06-28,964,-10461,55,-9442,-328,-1177,-942,-2447
2014-07-05,1638,-2964,-337,-1664,3309,3021,16688,23018
2014-07-12,719,6815,-262,7272,-1606,10,-12183,-13779
2014-07-19,1630,1277,901,3809,1380,4501,2537,8419
2014-07-26,243,-3016,250,-2523,2033,1647,-3643,38
2014-08-02,2462,8995,166,11624,965,3674,2545,7185
2014-08-09,1760,2676,366,4802,-5848,2325,-6281,-9805
2014-08-16,2577,6601,1599,10777,877,2237,3911,7026
2014-08-23,2236,-6084,298,-3550,1731,1828,-1678,1881
2014-08-30,-47,5114,-203,4864,-1107,11086,-2377,7603
2014-09-06,1100,7701,1865,10667,1879,2489,-3938,431
2014-09-13,2483,-4071,-152,-1740,1366,8163,-4184,5345
2014-09-20,609,7705,1142,9455,2940,4243,-4495,2687
2014-09-27,3933,1869,-1583,4218,-419,-1956,-3391,-5766
2014-10-04,4390,-1686,-476,2228,1845,12250,-22812,-8718
2014-10-11,17,7842,-50,7809,-2546,6243,15679,19376
2014-10-18,3188,-11824,577,-8059,-4142,-1842,-279,-6264
2014-10-25,1971,434,-113,2293,1780,493,-1474,798
2014-11-01,3261,8066,-366,10962,9047,6396,953,16397
2014-11-08,-2673,11234,304,8865,10549,9731,9330,29610
2014-11-15,-830,2595,711,2476,9102,5870,7706,22678
2014-11-22,1942,-367,-1,1575,7349,-4294,3493,6548
2014-11-29,1522,1,42,1565,-530,1585,-10343,-9288
2014-12-06,1152,-8003,-498,-7350,4823,8567,-6283,7108
2014-12-13,1267,-6062,584,-4211,1208,3198,12760,17166
2014-12-20,4086,-13600,304,-9210,-3877,4975,3339,4437
2014-12-27,2375,-1211,-250,914,31,-11335,-30284,-41587
2015-01-10,1180,4645,405,6231,-6799,-1289,12452,4364
2015-01-17,6574,-3954,-2,2619,-5771,-2443,2572,-5642
2015-01-24,3821,442,2849,7112,4648,2363,4561,11572
2015-01-31,4579,6752,1825,13156,-1048,702,6686,6339
2015-02-07,3063,1926,203,5191,-4771,688,6610,2528
2015-02-14,1559,4768,-396,5931,1139,7150,6149,14438
2015-02-21,2974,1662,-476,4160,2893,478,-13090,-9719
2015-02-28,6245,4709,517,11471,3505,2246,10324,16075
2015-03-07,3562,2682,656,6900,2918,2840,3910,9668
2015-03-14,5106,5510,156,10772,2443,6161,9067,17671
2015-03-21,2202,7884,572,10658,-3524,-9545,1706,-11363
2015-03-28,3961,10431,-109,14283,-344,1871,11707,13235
2015-04-04,4244,-30721,-947,-27423,10361,9993,-7985,12369
2015-04-11,2765,2138,338,5242,10411,2858,-8816,4452
2015-04-18,2715,4335,1343,8394,5990,-6639,17953,17304
2015-04-25,1680,1948,1598,5226,8210,3329,3831,15369
2015-05-02,2448,-3992,-143,-1687,-2056,2253,-16581,-16383
2015-05-09,963,3948,921,5832,714,1338,10470,12523
2015-05-16,394,11018,424,11837,1872,-6663,-3834,-8626
2015-05-23,2651,9607,-291,11967,5641,392,-7378,-1345
2015-05-30,1687,-3513,771,-1055,5742,-62,23570,29250
2015-06-06,548,-3846,337,-2961,2552,1224,-17638,-13862
2015-06-13,1562,-18445,24,-16859,-4126,-2761,7767,881
2015-06-20,3495,-8906,82,-5329,-2533,1078,7185,5731
2015-06-27,2340,-428,-645,1267,2980,-13864,-2509,-13393
2015-07-04,4837,2064,-417,6484,-1854,4771,-8321,-5404
2015-07-11,1880,1638,879,4397,-8534,9742,-12528,-11320
2015-07-18,3994,5747,-364,9376,6322,-1796,10887,15412
2015-07-25,2104,-262,-107,1734,-817,6843,-3648,2379
2015-08-01,1681,1198,-72,2807,-28,2639,-936,1675
2015-08-08,-144,1108,575,1539,3564,8204,17067,28835
2015-08-15,1892,6013,823,8727,-5014,11945,-14571,-7640
2015-08-22,2581,-2772,799,608,-4628,-53,1869,-2812
2015-08-29,5827,9017,-124,14720,-6269,2301,16372,12404
2015-09-05,8686,11204,577,20466,-9861,-3383,-13944,-27188
2015-09-12,3806,5148,-216,8738,-14206,7824,2690,-3692
2015-09-19,4111,7247,847,12205,-4315,4680,18981,19346
2015-09-26,136,10378,-549,9964,-1922,-10770,-1757,-14450
2015-10-03,6123,-6269,-708,-855,-1776,303,-11776,-13249
2015-10-10,1050,10576,189,11814,5235,10068,8634,23937
2015-10-17,2728,4962,-709,6981,-236,-507,20224,19481
2015-10-24,1589,4649,-46,6192,3250,7712,-13610,-2648
2015-10-31,1730,8828,-1151,9407,1871,7105,5721,14698
2015-11-07,-338,10363,1113,11138,1707,561,22859,25127
2015-11-14,146,8933,-540,8539,3266,2454,1874,7593
2015-11-21,3417,4090,-112,7395,1990,8543,-14790,-4257
2015-11-28,535,-1566,-1269,-2300,-546,2176,11750,13380
2015-12-05,2346,813,-1107,2052,1048,1796,-3544,-700
2015-12-12,218,3218,627,4063,-4901,3847,22305,21250
2015-12-19,1957,1469,1613,5039,-2258,3072,23591,24405
2015-12-26,-837,-1666,-37,-2540,-884,-17450,-18181,-36515
2016-01-09,1973,3235,166,5374,-7464,2235,25090,19860
2016-01-16,2276,-3754,2022,544,-3586,-6317,-11286,-21188
2016-01-23,3193,4779,446,8418,-1904,7134,4398,9628
2016-01-30,2421,-788,499,2131,-3650,4493,-4863,-4020
2016-02-06,2025,14555,732,17312,-6107,129,3916,-2062
2016-02-13,818,-13152,1496,-10839,-5625,11465,-3308,2531
2016-02-20,4484,19756,-968,23271,-4410,6641,2931,5162
2016-02-27,3823,9324,-103,13043,-10158,2118,-7455,-15495
2016-03-05,2524,15380,-339,17564,-1385,-863,17271,15023
2016-03-12,1212,8964,-1132,9045,-15825,9962,1432,-4431
2016-03-19,3017,22769,-2702,23083,-6780,-5610,15073,2683
2016-03-26,-323,11643,639,11960,-3588,-18268,-22099,-43955
2016-04-02,-477,-15555,651,-15381,4152,302,-37700,-33245
2016-04-09,-2061,-11761,618,-13203,1465,8163,11939,21568
2016-04-16,-5034,8430,-1213,2183,5386,7709,-2854,10241
2016-04-23,209,9911,-1134,8985,6016,4095,-413,9698
2016-04-30,-2319,13635,-585,10731,-418,1962,-2730,-1185
2016-05-07,175,2702,438,3314,-4350,219,-27302,-31432
2016-05-14,-1521,11227,1525,11231,725,3484,23008,27218
2016-05-21,1823,6830,517,9171,407,4920,-496,4831
2016-05-28,1236,-5494,-124,-4381,-1753,680,-7885,-8958
2016-06-04,352,8940,-561,8731,-975,6110,-143,4992
2016-06-11,1295,8679,-711,9264,1283,7643,-14709,-5783
2016-06-18,724,-4575,-682,-4533,-2328,-4877,14189,6984
2016-06-25,1887,4000,-209,5677,-1722,-21575,-1240,-24537
2016-07-02,2096,4269,-720,5646,1136,2442,-20788,-17210
2016-07-09,2212,25497,-235,27474,-3068,274,-2268,-5062
2016-07-16,4520,17145,-688,20976,4437,-1153,6765,10049
2016-07-23,1753,6787,260,8800,-2716,3047,6325,6656
2016-07-30,729,3124,199,4053,-955,10912,11229,21186
2016-08-06,2437,9121,-1065,10494,-4928,-2663,1454,-6137
2016-08-13,1414,12976,-852,13538,945,4748,-17355,-11662
2016-08-20,1427,4330,-1402,4355,-2293,2919,8665,9290
2016-08-27,3803,1077,-270,4610,-155,2687,-2095,437
2016-09-03,766,-13265,707,-11792,21,7073,-1122,5973
2016-09-10,-4498,-6298,35,-10761,-4807,10652,20932,26778
2016-09-17,2934,13683,76,16694,-8011,-5261,3045,-10228
2016-09-24,382,12058,1022,13461,-2015,-28058,-8471,-38543
2016-10-01,3622,-6368,-264,-3010,2517,11920,-18965,-4528
2016-10-08,871,-7339,-339,-6807,4324,2896,2473,9693
2016-10-15,1395,3181,-603,3973,700,3646,8276,12622
2016-10-22,-56,7743,-1015,6672,852,-7525,-31,-6704
2016-10-29,2053,8923,-80,10896,1089,-2678,1446,-142
2016-11-05,1910,6052,-165,7797,-1064,-65,-1191,-2320
2016-11-12,3398,4661,-313,7746,5460,4201,7956,17617
2016-11-19,6780,-2614,-99,4067,4615,-11093,14197,7719
2016-11-26,1178,1122,166,2466,3305,122,1604,5031
2016-12-03,-766,-8914,-389,-10069,4034,6582,-5106,5510
2016-12-10,-613,2733,-362,1757,2772,7309,9818,19899
2016-12-17,-659,-2145,-842,-3645,1142,-2698,21640,20084
2016-12-24,-1013,-12656,167,-13502,-1987,-16708,3536,-15159
2016-12-31,-95,-5014,-387,-5496,585,8281,-34895,-26029
2017-01-07,2342,2080,106,4528,3468,6241,38794,48504
2017-01-14,498,3349,733,4580,2389,5172,-798,6763
2017-01-21,-191,-5381,-137,-5708,-3760,-1682,22439,16997
2017-01-28,1272,-13567,82,-12213,-1439,4462,-5858,-2835
2017-02-04,3329,-1264,116,2182,-2477,2442,-7883,-7919
2017-02-11,-967,-2931,-387,-4285,1758,-1011,1614,2361
2017-02-18,1649,487,-230,1907,-1277,-1412,8566,5877
2017-02-25,1574,-2068,228,-266,-2609,3679,9767,10836
2017-03-04,763,-11295,614,-9917,-1659,6050,-17805,-13414
2017-03-11,-3606,-6956,974,-9588,-7227,-495,-21413,-29135
2017-03-18,-4651,1509,292,-2850,-5853,-5963,29158,17343
2017-03-25,-2940,-1468,-188,-4596,-7543,-19237,-15407,-42186
2017-04-01,3354,10998,-84,14268,5845,8900,-30159,-15415
2017-04-08,851,-21759,1191,-19717,4423,5872,19303,29598
2017-04-15,-2317,-7959,220,-10056,3148,4104,-6319,934
2017-04-22,1362,-12826,305,-11159,2584,-6932,725,-3623
2017-04-29,6045,1,762,6808,4891,7548,-212,12227
2017-05-06,1084,4258,-210,5132,2379,-399,-13525,-11545
2017-05-13,2541,17583,-243,19881,3719,3954,4349,12022
2017-05-20,-261,7799,-829,6709,-259,5627,11841,17210
2017-05-27,6298,7335,192,13826,1296,4565,-3162,2700
2017-06-03,4636,-3454,-666,516,5435,4845,-12554,-2273
2017-06-10,508,5341,220,6069,-1425,3096,27858,29530
2017-06-17,3546,11003,-276,14272,-3176,-6023,-25993,-35193
2017-06-24,3687,3255,-93,6849,-263,-14643,6830,-8076
2017-07-01,1497,-7728,-424,-6655,-140,758,-10627,-10009
2017-07-08,3254,8058,530,11842,-352,-4134,8986,4499
2017-07-15,4786,9467,978,15230,3770,4131,-10806,-2905
2017-07-22,2036,11809,553,14398,2919,-1595,8385,9708
2017-07-29,1374,10695,-318,11751,-1238,2939,-2616,-915
2017-08-05,1609,16280,1499,19388,-377,5981,819,6424
2017-08-12,1488,-1475,1280,1293,-3025,2141,-5960,-6844
2017-08-19,4231,-4462,57,-174,-2996,-1851,22696,17849
2017-08-26,2176,3970,-431,5714,-2460,5002,-7975,-5432
2017-09-02,1614,-1174,1152,1592,-1581,13798,-14810,-2592
2017-09-09,3061,2007,407,5475,-6439,5557,19092,18210
2017-09-16,1419,3842,460,5722,-9193,-562,2251,-7504
2017-09-23,697,2425,-563,2559,-9235,-13939,-11011,-34185
2017-09-30,4709,-10141,-917,-6349,9533,3911,-5770,7674
2017-10-07,3662,945,760,5367,12353,995,12864,26212
2017-10-14,1485,2705,946,5135,8421,2071,-4450,6042
2017-10-21,551,110,-255,406,6833,-4216,-5836,-3220
2017-10-28,3695,-10848,-183,-7336,6964,767,10457,18189
2017-11-04,1698,-7296,-295,-5894,-48,963,-4495,-3580
2017-11-11,3082,-907,757,2932,1832,-1040,-6012,-5220
2017-11-18,3309,2356,92,5757,-3247,-2850,9973,3876
2017-11-25,1363,1380,443,3186,-1553,5435,609,4491
2017-12-02,6039,-2040,-569,3430,-1668,2218,-10169,-9618
2017-12-09,3763,-4897,-549,-1682,-1549,8442,45344,52236
2017-12-16,2739,526,-1053,2211,-6222,5487,-1299,-2034
2017-12-23,1777,4274,-864,5187,761,-20293,-8999,-28531
2017-12-30,2830,-2237,449,1042,1085,3263,-11987,-7639
2018-01-13,931,9578,519,11028,4994,877,-17334,-11463
2018-01-20,3798,3932,219,7949,-1481,-4145,8767,3142
2018-01-27,3745,164,218,4127,-1718,-2538,-14126,-18381
2018-02-03,4666,-8646,925,-3055,-1256,-3449,1869,-2836
2018-02-10,-595,-9623,1421,-8797,-4300,416,8073,4189
2018-02-17,-5871,-5126,527,-10470,1272,-7895,-7685,-14308
2018-02-24,445,2054,138,2637,-537,-250,1949,1162
2018-03-03,2016,-11758,42,-9700,-4634,12755,-1444,6677
2018-03-10,-206,10908,1153,11856,-4323,4860,17896,18433
2018-03-17,-3862,8527,324,4989,-11532,-3504,8250,-6787
2018-03-24,-4482,7954,2700,6171,-21624,-21716,-4103,-47443
2018-03-31,1731,-7743,-727,-6740,2288,2689,-40241,-35265
2018-04-07,1493,-5947,201,-4252,3326,8189,23611,35127
2018-04-14,2144,8010,396,10551,3057,4227,-17424,-10140
2018-04-21,2713,9544,1667,13925,4806,2168,16946,23920
2018-04-28,3033,5336,-27,8343,2835,108,-6497,-3553
2018-05-05,239,-3557,-173,-3490,-8,-160,71,-97
2018-05-12,2473,8353,-27,10799,1265,2377,-2602,1039
2018-05-19,1768,9665,104,11537,971,-1523,11119,10566
2018-05-26,2558,-7002,-874,-5318,-3800,-2167,-14205,-20171
2018-06-02,3838,-16642,316,-12489,-5278,4312,12675,11709
2018-06-09,142,-4760,-1422,-6040,-1083,2701,3591,5209
2018-06-16,3323,15119,-1106,17336,-400,1346,-1211,-265
2018-06-23,975,302,492,1769,-4859,-8621,13126,-353
2018-06-30,9849,-2934,738,7653,-2998,9512,5088,11602
2018-07-07,3801,8191,-305,11686,761,2308,-1700,1369
2018-07-14,2729,104,244,3077,6027,6536,-1990,10573
2018-07-21,1519,-2013,-990,-1485,1736,682,955,3373
2018-07-28,2510,5266,-102,7675,-625,5388,5203,9966
2018-08-04,5101,11640,-351,16389,-2249,-6632,-5411,-14292
2018-08-11,1817,1247,-581,2483,-1071,-589,-4670,-6330
2018-08-18,2646,-19221,-507,-17082,-5101,-7298,11395,-1004
2018-08-25,-609,2472,409,2272,-2097,355,466,-1276
2018-09-01,1861,5434,-686,6609,-46,-92,1221,1083
2018-09-08,1209,3062,207,4478,-10714,3228,11088,3602
2018-09-15,2588,23290,550,26427,-14823,2663,-3660,-15820
2018-09-22,2970,15030,-236,17763,-5175,-23007,-1485,-29667
2018-09-29,3341,3808,-2189,4961,8356,-1794,15172,21734
2018-10-06,1895,-1982,1032,945,15774,6326,-620,21480
2018-10-13,863,10362,-74,11152,544,-1793,2450,1201
2018-10-20,2878,272,1108,4258,2237,-4082,9609,7764
2018-10-27,27,-10749,-1548,-12269,-3569,5549,-1701,279
2018-11-03,4703,-1664,169,3208,1074,5454,1961,8489
2018-11-10,-2039,16205,264,14430,3620,4134,5367,13121
2018-11-17,2453,-1400,-243,809,-1862,-162,7580,5557
2018-11-24,795,-7360,-87,-6652,-2035,3683,-5115,-3468
2018-12-01,-750,10535,681,10466,-1379,7331,787,6738
2018-12-08,-1118,12348,180,11410,-4489,17174,19616,32301
2018-12-15,-630,1073,825,1269,-1716,16279,-1585,12978
2018-12-22,-1867,-3105,-709,-5681,-5044,-22049,2302,-24791
2018-12-29,890,-5166,-787,-5063,999,5049,-17457,-11408
2019-01-12,-1892,22161,-186,20083,-4279,8797,10727,15245
2019-01-19,-2803,8229,1270,6696,-674,-266,3097,2158
2019-01-26,-1904,-1041,703,-2241,1649,6033,-8168,-486
2019-02-02,-3950,9156,-85,5121,-1240,6383,1412,6555
2019-02-09,-1144,9966,-595,8227,-1019,8822,8672,16475
2019-02-16,-591,1962,-47,1324,-538,843,-7482,-7177
2019-02-23,-2008,10214,-1863,6344,-142,3172,612,3642
2019-03-02,-26,4526,-600,3899,-3405,10258,4613,11466
2019-03-09,6238,2547,902,9686,-11575,4591,6142,-841
2019-03-16,4508,-5953,-393,-1838,-15895,4016,-9529,-21408
2019-03-23,-744,17856,659,17771,-10922,-14875,-470,-26267
2019-03-30,624,12439,-1742,11322,4385,15705,-27961,-7871
2019-04-06,1120,-17396,177,-16098,14635,8769,8010,31414
2019-04-13,-5628,5988,676,1036,5274,5627,730,11631
2019-04-20,-1072,11695,-80,10544,14274,-4438,-3031,6805
2019-04-27,-305,-3113,259,-3158,6401,2762,-19348,-10186
2019-05-04,-319,-2570,-735,-3624,0,-28,400,372
2019-05-11,1239,337,1486,3062,2808,5538,25436,33782
2019-05-18,2221,13590,214,16025,-573,-1949,7282,4760
2019-05-25,186,-1728,188,-1354,-1289,5790,-3902,599
2019-06-01,3440,4417,-1506,6351,-2859,6858,611,4610
2019-06-08,310,17416,-439,17287,-1480,5900,-13745,-9325
2019-06-15,2325,3305,18,5647,-943,5357,-15977,-11563
2019-06-22,2533,4978,144,7655,-3133,-20124,3120,-20137
2019-06-29,1156,5145,-1502,4799,585,4536,2314,7435
2019-07-06,387,2970,107,3463,1922,4706,-738,5890
2019-07-13,-186,9496,-131,9178,-931,8443,-3161,4350
2019-07-20,-768,10290,-490,9033,-1099,1329,13227,13457
2019-07-27,1041,-1615,669,95,367,6074,-9206,-2765
2019-08-03,953,2920,-248,3625,-3399,1799,3451,1850
2019-08-10,620,1758,-722,1656,-1869,5455,2528,6114
2019-08-17,-1056,4998,1511,5454,-3596,-521,-4229,-8346
2019-08-24,2348,-9103,-563,-7317,39,-1035,676,-320
2019-08-31,2109,14957,-644,16421,-895,268,5857,5230
2019-09-07,-254,7268,761,7775,-1615,4411,6444,9240
2019-09-14,639,4834,-315,5158,-9711,12695,-10694,-7709
2019-09-21,-1064,-1648,-284,-2996,-11780,-31486,-1037,-44303
2019-09-28,3199,8709,-799,11108,-2212,3990,-3837,-2059
2019-10-05,2333,-4257,78,-1846,10725,9139,2368,22232
2019-10-12,483,10606,-135,10953,5082,1028,-9424,-3314
2019-10-19,424,5157,-509,5072,5220,1274,6336,12830
2019-10-26,14,-10557,-727,-11270,6493,264,-13414,-6657
2019-11-02,3818,6685,-651,9851,4222,-5398,11842,10666
2019-11-09,2410,5317,900,8627,5698,-872,2075,6902
2019-11-16,-718,1237,540,1060,1110,-4324,-3690,-6904
2019-11-23,-636,-1508,-757,-2901,1311,4582,-6369,-476
2019-11-30,2100,-5111,-491,-3501,3940,6062,-475,9527
2019-12-07,2242,2357,-103,4496,-2003,4757,1314,4068
2019-12-14,2201,5217,-758,6659,-533,2274,3550,5292
2019-12-21,282,-9229,-88,-9034,1407,-14040,7720,-4912
2019-12-28,-996,-4461,-99,-5556,1710,-2455,-27439,-28184
2020-01-11,1386,23297,381,25065,-164,2058,30546,32440
2020-01-18,1516,1957,592,4065,2638,-3738,13894,12794
2020-01-25,1669,-5477,-307,-4115,-2840,2905,-5951,-5887
2020-02-01,326,-1502,1509,334,-2956,10237,6043,13324
2020-02-08,2731,16331,1945,21006,2837,16738,1187,20762
2020-02-15,-419,14218,-813,12985,-2166,3706,-13562,-12022
2020-02-22,-2794,6563,2288,6057,-681,3973,9657,12949
2020-02-29,2003,-4897,-133,-3028,-7450,5234,-8828,-11043
2020-03-07,1577,41694,-631,42640,-5178,10970,6508,12301
2020-03-14,777,-9901,-1142,-10266,-12418,3104,-7210,-16524
2020-03-21,3921,-613,190,3498,-14747,-26316,9740,-31323
2020-03-28,8797,25,-1076,7746,-14221,-34902,-6768,-55891
2020-04-04,5686,-10499,755,-4059,3232,4961,-373,7820
2020-04-11,4500,-1957,491,3034,-155,3581,-6403,-2977
2020-04-18,2259,-4232,-901,-2873,-26,-5763,9728,3939
2020-04-25,3211,-1491,-632,1088,-3937,2049,-5175,-7063
2020-05-02,55,-11076,403,-10618,-2719,-6517,-9471,-18707
2020-05-09,637,2377,633,3647,-927,-661,3711,2123
2020-05-16,1557,-4569,764,-2248,-2226,57,-8404,-10573
2020-05-23,8134,-4531,1256,4858,748,5511,1379,7638
2020-05-30,1852,-4977,714,-2412,-382,1579,25230,26427
2020-06-06,1584,10461,426,12472,2687,-7388,32215,27515
2020-06-13,-1855,16829,91,15065,-4404,-4843,1023,-8224
2020-06-20,1032,15475,-445,16061,-4219,2614,12352,10747
2020-06-27,1483,1962,229,3674,-4943,-13939,3440,-15441
2020-07-04,2180,-5207,93,-2934,-770,-7465,22747,14512
2020-07-11,-36390,10679,471,-25240,669,7514,10581,18764
2020-07-18,-821,2922,728,2829,-1099,1744,20826,21471
2020-07-25,-1496,-5243,-908,-7647,1095,3374,450,4920
2020-08-01,-9193,11464,464,2734,-5786,-1400,-11300,-18486
2020-08-08,-4421,14626,829,11034,1655,876,18624,21155
2020-08-15,-23,-1821,1019,-825,3708,-8952,1090,-4154
2020-08-22,308,9585,-764,9129,-1693,4644,9854,12806
2020-08-29,2275,-1176,895,1994,-5905,-5850,7058,-4697
2020-09-05,5055,3777,270,9102,115,2593,-11165,-8456
2020-09-12,-4386,2815,600,-971,-8970,11322,727,3078
2020-09-19,-4871,2301,-675,-3245,-15257,-4251,8701,-10807
2020-09-26,-227,-795,-584,-1605,-2744,-18225,-24946,-45914
2020-10-03,-573,-3376,787,-3162,5314,9032,3030,17375
2020-10-10,3151,19368,-1432,21088,14209,7851,17670,39730
2020-10-17,-1633,4223,869,3458,-939,4020,-5548,-2467
2020-10-24,-197,-10632,-188,-11017,2287,1577,14672,18536
2020-10-31,3463,721,574,4758,-2127,-2720,4077,-770
2020-11-07,1513,13732,570,15816,4845,4242,-14479,-5392
2020-11-14,-2708,10094,506,7892,4228,7364,877,12469
2020-11-21,-14291,19648,-352,5005,-11933,4616,17633,10316
2020-11-28,-8358,3725,-298,-4931,4579,-1161,-11248,-7830
2020-12-05,-6915,12572,-239,5418,423,-2780,23928,21572
2020-12-12,-5852,7711,1169,3028,1564,9471,30686,41720
2020-12-19,-7718,8014,430,727,-5044,-226,28115,22845
2020-12-26,-841,-5607,-1314,-7762,371,-28633,-49210,-77472
2021-01-09,2857,7364,56,10276,5125,-2671,80684,83138
2021-01-16,-377,2761,-155,2229,1775,5484,-9326,-2067
2021-01-23,-2645,7562,1694,6612,2098,1433,3900,7430
2021-01-30,-5692,7277,-362,1223,-1876,621,-4015,-5270
2021-02-06,-5094,10287,-364,4829,4632,5891,-67,10456
2021-02-13,-238,4782,2005,6549,3395,-7484,-16014,-20104
2021-02-20,-3773,-18890,915,-21748,935,3166,17957,22058
2021-02-27,-4591,-17196,-370,-22158,-4538,-12779,-5663,-22981
2021-03-06,1766,1116,-1968,914,-1324,7007,16447,22130
2021-03-13,-3078,-4315,479,-6913,-598,7696,-8253,-1155
2021-03-20,-2747,5545,-268,2530,-790,-9431,-5114,-15335
2021-03-27,-3679,2013,-690,-2357,-8524,-23885,-17017,-49426
2021-04-03,-2007,3756,-776,974,9776,5686,-15335,128
2021-04-10,-6224,17155,-25,10906,6411,12265,9089,27764
2021-04-17,-11452,10060,397,-996,2882,3527,-42631,-36223
2021-04-24,-3186,1337,110,-1739,4925,1232,3290,9446
2021-05-01,-2041,-14320,90,-16270,589,-7106,-47459,-53976
2021-05-08,1141,-724,1077,1494,1447,-3732,42923,40639
2021-05-15,1902,6000,1548,9450,-4714,8784,-17902,-13832
2021-05-22,-886,-5507,-2142,-8536,-2232,11890,-10775,-1116
2021-05-29,1294,-10899,-964,-10569,1814,-301,11354,12867
2021-06-05,390,6672,2424,9485,947,4904,14023,19875
2021-06-12,1055,4106,322,5483,-357,13098,8770,21511
2021-06-19,-2058,9835,-870,6907,-1917,2910,5754,6747
2021-06-26,327,-10034,-1102,-10809,-1467,-3032,-1203,-5701
2021-07-03,-2020,-1889,38,-3871,-3100,8871,16562,22333
2021-07-10,-773,-12180,1075,-11878,-175,25665,-2314,23176
2021-07-17,-1408,7828,-324,6095,2079,3623,-33227,-27525
2021-07-24,1344,-10830,-1505,-10991,-585,-2278,-1708,-4571
2021-07-31,-1906,2256,-251,100,32,5478,1467,6977
2021-08-07,6156,-11034,1386,-3492,1050,6818,11962,19830
2021-08-14,-869,6597,2073,7801,1992,1615,-29712,-26104
2021-08-21,559,-1824,-86,-1351,-5502,-2252,-3027,-10781
